instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S16x8x8,31415,R2,True,110.0,109.0,8.333,0.405,0,110,180,196,,,,8,16,8,306,196,180,0.918,15,16
S16x8x8,31415,RS,True,179.0,109.0,7.932,0.641,0,110,,196,70.0,,,8,16,8,306,196,180,0.918,15,16
S16x8x8,31415,RD,True,123.15,109.0,22.232,0.644,2,110,,196,,,,8,16,8,306,196,180,0.918,15,16
S16x8x8,8,R2,True,110.0,110.0,6.086,0.339,0,113,160,176,,,,8,16,8,289,176,160,0.909,15,16
S16x8x8,8,RS,True,181.0,110.0,2.733,0.609,0,113,,176,71.0,,,8,16,8,289,176,160,0.909,15,16
S16x8x8,8,RD,True,105.0,110.0,16.791,0.547,0,113,,176,,,,8,16,8,289,176,160,0.909,15,16
S18x9x9,42,R2,True,127.0,119.0,8.144,0.306,0,130,179,220,,,,9,18,9,350,220,179,0.814,16,17
S18x9x9,42,RS,True,196.0,119.0,3.376,0.629,0,130,,220,77.0,,,9,18,9,350,220,179,0.814,16,17
S18x9x9,42,RD,True,123.65,119.0,27.143,0.634,2,130,,220,,,,9,18,9,350,220,179,0.814,16,17
S18x9x9,7,R2,True,121.0,115.0,10.933,0.351,0,131,161,214,,,,9,18,9,345,214,161,0.752,16,17
S18x9x9,7,RS,True,188.0,115.0,3.334,0.62,0,131,,214,73.0,,,9,18,9,345,214,161,0.752,16,17
S18x9x9,7,RD,True,118.25,115.0,25.718,0.62,0,131,,214,,,,9,18,9,345,214,161,0.752,16,17
S18x9x9,2024,R2,True,125.75,125.0,8.332,0.455,0,117,226,250,,,,9,18,9,367,250,226,0.904,16,17
S18x9x9,2024,RS,True,206.0,125.0,4.341,0.681,0,117,,250,81.0,,,9,18,9,367,250,226,0.904,16,17
S18x9x9,2024,RD,True,120.75,125.0,23.175,0.684,0,117,,250,,,,9,18,9,367,250,226,0.904,16,17
S18x9x9,99,R2,True,140.0,130.0,9.439,0.3,0,143,196,224,,,,9,18,9,367,224,196,0.875,16,17
S18x9x9,99,RS,True,215.0,130.0,5.934,0.61,0,143,,224,85.0,,,9,18,9,367,224,196,0.875,16,17
S18x9x9,99,RD,True,131.5,130.0,24.965,0.613,1,143,,224,,,,9,18,9,367,224,196,0.875,16,17
S18x9x9,123,R2,True,119.0,114.0,9.99,0.256,0,128,187,224,,,,9,18,9,352,224,187,0.835,16,17
S18x9x9,123,RS,True,184.0,114.0,3.278,0.636,0,128,,224,70.0,,,9,18,9,352,224,187,0.835,16,17
S18x9x9,123,RD,True,118.9,114.0,31.947,0.631,1,128,,224,,,,9,18,9,352,224,187,0.835,16,17
S18x9x9,13,R2,True,127.0,121.0,8.253,0.423,0,117,214,247,,,,9,18,9,364,247,214,0.866,16,17
S18x9x9,13,RS,True,199.0,121.0,3.168,0.679,0,117,,247,78.0,,,9,18,9,364,247,214,0.866,16,17
S18x9x9,13,RD,True,118.35,121.0,28.565,0.67,0,117,,247,,,,9,18,9,364,247,214,0.866,16,17
